filename,p1,p2,dice1,dice2,abs_dice_diff,box_iou
1003_pid-112746_pituitary.png,P04,P18,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P04,P19,0.0,0.0,0.0,0.9245214551392543
1003_pid-112746_pituitary.png,P04,P20,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P05,P06,0.0,0.0,0.0,0.9365079365079365
1003_pid-112746_pituitary.png,P05,P07,0.0,0.0,0.0,0.9047619047619048
1003_pid-112746_pituitary.png,P05,P08,0.0,0.0,0.0,0.8786959818043972
1003_pid-112746_pituitary.png,P05,P09,0.0,0.0,0.0,0.7312302839116719
1003_pid-112746_pituitary.png,P05,P10,0.0,0.0,0.0,0.8614136732329084
1003_pid-112746_pituitary.png,P05,P11,0.0,0.0,0.0,0.9047619047619048
1003_pid-112746_pituitary.png,P05,P12,0.0,0.0,0.0,0.8454332552693209
1003_pid-112746_pituitary.png,P05,P13,0.0,0.0,0.0,0.8786959818043972
1003_pid-112746_pituitary.png,P05,P14,0.0,0.0,0.0,0.8750975800156128
1003_pid-112746_pituitary.png,P05,P15,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P05,P16,0.0,0.0,0.0,0.9112527580289287
1003_pid-112746_pituitary.png,P05,P17,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P05,P18,0.0,0.0,0.0,0.8750975800156128
1003_pid-112746_pituitary.png,P05,P19,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P05,P20,0.0,0.0,0.0,0.8308243727598567
1003_pid-112746_pituitary.png,P06,P07,0.0,0.0,0.0,0.9057366011311608
1003_pid-112746_pituitary.png,P06,P08,0.0,0.0,0.0,0.8787562059054089
1003_pid-112746_pituitary.png,P06,P09,0.0,0.0,0.0,0.7271351351351352
1003_pid-112746_pituitary.png,P06,P10,0.0,0.0,0.0,0.8591549295774648
1003_pid-112746_pituitary.png,P06,P11,0.0,0.0,0.0,0.9057366011311608
1003_pid-112746_pituitary.png,P06,P12,0.0,0.0,0.0,0.9027507641011392
1003_pid-112746_pituitary.png,P06,P13,0.0,0.0,0.0,0.8787562059054089
1003_pid-112746_pituitary.png,P06,P14,0.0,0.0,0.0,0.9344262295081968
1003_pid-112746_pituitary.png,P06,P15,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P06,P16,0.0,0.0,0.0,0.9104477611940298
1003_pid-112746_pituitary.png,P06,P17,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P06,P18,0.0,0.0,0.0,0.9344262295081968
1003_pid-112746_pituitary.png,P06,P19,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P06,P20,0.0,0.0,0.0,0.8293464858199754
1003_pid-112746_pituitary.png,P07,P08,0.0,0.0,0.0,0.9682539682539683
1003_pid-112746_pituitary.png,P07,P09,0.0,0.0,0.0,0.7922077922077922
1003_pid-112746_pituitary.png,P07,P10,0.0,0.0,0.0,0.8300310336595846
1003_pid-112746_pituitary.png,P07,P11,0.0,0.0,0.0,1.0
1003_pid-112746_pituitary.png,P07,P12,0.0,0.0,0.0,0.9344262295081968
1003_pid-112746_pituitary.png,P07,P13,0.0,0.0,0.0,0.9682539682539683
1003_pid-112746_pituitary.png,P07,P14,0.0,0.0,0.0,0.9672131147540983
1003_pid-112746_pituitary.png,P07,P15,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P07,P16,0.0,0.0,0.0,0.8795851252213509
1003_pid-112746_pituitary.png,P07,P17,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P07,P18,0.0,0.0,0.0,0.9672131147540983
1003_pid-112746_pituitary.png,P07,P19,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P07,P20,0.0,0.0,0.0,0.9104477611940298
1003_pid-112746_pituitary.png,P08,P09,0.0,0.0,0.0,0.8181818181818182
1003_pid-112746_pituitary.png,P08,P10,0.0,0.0,0.0,0.8572451659107185
1003_pid-112746_pituitary.png,P08,P11,0.0,0.0,0.0,0.9682539682539683
1003_pid-112746_pituitary.png,P08,P12,0.0,0.0,0.0,0.9047619047619048
1003_pid-112746_pituitary.png,P08,P13,0.0,0.0,0.0,1.0
1003_pid-112746_pituitary.png,P08,P14,0.0,0.0,0.0,0.9365079365079365
1003_pid-112746_pituitary.png,P08,P15,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P08,P16,0.0,0.0,0.0,0.9084239817859854
1003_pid-112746_pituitary.png,P08,P17,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P08,P18,0.0,0.0,0.0,0.9365079365079365
1003_pid-112746_pituitary.png,P08,P19,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P08,P20,0.0,0.0,0.0,0.9402985074626866
1003_pid-112746_pituitary.png,P09,P10,0.0,0.0,0.0,0.8467168998923573
1003_pid-112746_pituitary.png,P09,P11,0.0,0.0,0.0,0.7922077922077922
1003_pid-112746_pituitary.png,P09,P12,0.0,0.0,0.0,0.7402597402597403
1003_pid-112746_pituitary.png,P09,P13,0.0,0.0,0.0,0.8181818181818182
1003_pid-112746_pituitary.png,P09,P14,0.0,0.0,0.0,0.7662337662337663
1003_pid-112746_pituitary.png,P09,P15,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P09,P16,0.0,0.0,0.0,0.7990079792969592
1003_pid-112746_pituitary.png,P09,P17,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P09,P18,0.0,0.0,0.0,0.7662337662337663
1003_pid-112746_pituitary.png,P09,P19,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P09,P20,0.0,0.0,0.0,0.8701298701298701
1003_pid-112746_pituitary.png,P10,P11,0.0,0.0,0.0,0.8300310336595846
1003_pid-112746_pituitary.png,P10,P12,0.0,0.0,0.0,0.7756027691573167
1003_pid-112746_pituitary.png,P10,P13,0.0,0.0,0.0,0.8572451659107185
1003_pid-112746_pituitary.png,P10,P14,0.0,0.0,0.0,0.8028169014084507
1003_pid-112746_pituitary.png,P10,P15,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P10,P16,0.0,0.0,0.0,0.9436619718309859
1003_pid-112746_pituitary.png,P10,P17,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P10,P18,0.0,0.0,0.0,0.8028169014084507
1003_pid-112746_pituitary.png,P10,P19,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P10,P20,0.0,0.0,0.0,0.9116734304129864
1003_pid-112746_pituitary.png,P11,P12,0.0,0.0,0.0,0.9344262295081968
1003_pid-112746_pituitary.png,P11,P13,0.0,0.0,0.0,0.9682539682539683
1003_pid-112746_pituitary.png,P11,P14,0.0,0.0,0.0,0.9672131147540983
1003_pid-112746_pituitary.png,P11,P15,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P11,P16,0.0,0.0,0.0,0.8795851252213509
1003_pid-112746_pituitary.png,P11,P17,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P11,P18,0.0,0.0,0.0,0.9672131147540983
1003_pid-112746_pituitary.png,P11,P19,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P11,P20,0.0,0.0,0.0,0.9104477611940298
1003_pid-112746_pituitary.png,P12,P13,0.0,0.0,0.0,0.9047619047619048
1003_pid-112746_pituitary.png,P12,P14,0.0,0.0,0.0,0.9661016949152542
1003_pid-112746_pituitary.png,P12,P15,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P12,P16,0.0,0.0,0.0,0.821907412092082
1003_pid-112746_pituitary.png,P12,P17,0.0,0.0,0.0,0.0
